OBJECTID,Tree ID,Tree Type,Genus,Species,Cultivar or Varietal,Common Name,Canopy Spread,Height,Latitude,Longitude,Size Category,Canopy Area,Height_Spread_Ratio,Distance_From_Center,Genus_Species_Count,Annual_CO2_Sequestration,Age_Category,Height_Normalized,Canopy Spread_Normalized,Canopy Area_Normalized,Spring_Canopy,Summer_Canopy,Fall_Canopy,Winter_Canopy,Spatial_Cluster
1,10146,DECIDUOUS,Quercus,bicolor,,Swamp White Oak,19.0,21.0,40.00910444,-105.2725292,Medium,283.5287369864788,1.105263157894737,0.0012887398173724897,10,48,Mature,-0.7272946122396077,-0.030060600428324417,-0.23317325584402393,198.47011589053514,283.5287369864788,170.11724219188727,28.352873698647883,2
2,10150,DECIDUOUS,Gymnocladus,dioicus,,Kentucky Coffeetree,31.0,47.0,40.00913593,-105.2727975,Large,754.7676350249478,1.5161290322580645,0.001018948820524792,1,70,Very Old,0.6480499310969602,1.0690964128802936,0.8285581684318357,528.3373445174634,754.7676350249478,452.86058101496866,75.47676350249479,2
3,10041,DECIDUOUS,Quercus,rubra,,Northern Red Oak,65.0,102.0,40.00888767,-105.2748857,Extra Large,3318.307240354219,1.5692307692307692,0.0011147029987312832,10,100,Very Old,3.5574326189243153,4.183374617254712,6.604377116492512,2322.815068247953,3318.307240354219,1990.9843442125314,331.83072403542195,3
4,10042,DECIDUOUS,Quercus,rubra,,Northern Red Oak,42.0,54.0,40.00877507,-105.2749996,Large,1385.4423602330987,1.2857142857142858,0.0012576801918986065,10,70,Very Old,1.0183350004568053,2.0766570084131937,2.2495087245876944,969.8096521631691,1385.4423602330987,831.2654161398592,138.54423602330988,3
5,10051,DECIDUOUS,Crataegus,Unknown,,Hawthorne,18.0,20.0,40.00887024,-105.2754284,Small,254.46900494077323,1.1111111111111112,0.0016464145705431862,5,20,Mature,-0.7801924792910141,-0.1216570182040426,-0.2986466936743686,178.12830345854124,254.46900494077323,152.68140296446393,25.446900494077326,3
6,10052,DECIDUOUS,Gleditsia,triacanthos,,Honey Locust,34.0,68.0,40.0088399,-105.2753071,Extra Large,907.9202768874502,2.0,0.0015344764958593563,1,100,Very Old,1.7589051391764956,1.343885666207448,1.1736208813214901,635.5441938212151,907.9202768874502,544.75216613247,90.79202768874502,3
7,10055,DECIDUOUS,Sorbus,Unknown,,Mountain-ash,7.0,17.0,40.00894038,-105.2752206,Small,38.48451000647496,2.4285714285714284,0.0014291013791968852,1,20,Mature,-0.9388860804452335,-1.1292176137369425,-0.7852735964674709,26.939157004532472,38.48451000647496,23.09070600388498,3.8484510006474966,3
8,10118,DECIDUOUS,Quercus,palustris,,Pin Oak,25.0,27.0,40.00895672,-105.2713972,Medium,490.8738521234052,1.08,0.002429311141570144,10,48,Mature,-0.4099074099311689,0.5195179062259846,0.23398857083735436,343.6116964863836,490.8738521234052,294.5243112740431,49.08738521234052,2
9,10456,CONIFEROUS,Pseudotsuga,menziesii,,Douglas Fir,10.0,28.0,40.01003153,-105.275527,Medium,78.53981633974483,2.8,0.0019050891263997982,1,48,Mature,-0.35700954287976244,-0.854428360409788,-0.6950264254040228,70.68583470577035,78.53981633974483,70.68583470577035,70.68583470577035,4
10,10285,DECIDUOUS,Acer,saccharinum,,Silver Maple,18.0,25.0,40.00961808,-105.2750125,Medium,254.46900494077323,1.3888888888888888,0.0012698626981169673,11,48,Mature,-0.5157031440339819,-0.1216570182040426,-0.2986466936743686,178.12830345854124,254.46900494077323,152.68140296446393,25.446900494077326,4
